TIME_PERIOD_DESC,AUS,AUT,BEL,CAN,CHE,CHL,COL,CZE,DEU,DNK,EA19,ESP,EST,EU28,FIN,FRA,G-7,GBR,GRC,HUN,IRL,ISL,ISR,ITA,JPN,KOR,LTU,LUX,LVA,MEX,NLD,NOR,NZL,OECD,POL,PRT,RUS,SVK,SVN,SWE,TUR,USA,Total
Year 2009,239133,88626,101844,259035,17263,57812,237220,116658,920274,41009,319,239274,10807,182591,31489,226693,298,978941,55006,47819,62979,6296,28677,730989,1493392,287145,12187,4516,10391,1325411,103979,32462,33328,292,344808,79319,1690143,30200,12858,57563,450389,560063,12501528
Year 2010,244100,89114,53145,262946,52718,77794,246388,61444,481233,40087,313,234572,10382,179874,31368,226889,296,980114,52957,47654,60421,6272,29637,724880,788051,292174,11596,4578,9726,1394720,102409,32506,47581,293,335851,60874,1706544,29548,12635,57840,267625,556813,9923960
Year 2011,248794,88106,53389,267169,53950,81651,256177,61239,491169,29865,309,230940,7660,180475,31702,227150,295,987606,48837,48019,59530,6277,30461,277329,753649,298570,11651,3345,9879,1416829,102140,32997,23461,294,337964,59137,1727337,29522,12258,59186,286059,560036,10829281
Year 2012,252333,43886,57411,270676,54685,83217,265673,61404,495511,34767,305,220570,7827,180056,31803,250238,295,992726,44472,48932,58944,6331,34290,277021,790498,303828,11846,2435,10042,1474953,102904,33630,23393,296,339321,56661,1745293,29736,12112,59570,295500,570436,10996891
Year 2013,122888,44075,53563,274658,55240,117809,271277,62074,501084,34737,300,214112,7900,180035,31478,275043,293,1004405,42256,49823,60102,6511,37105,272470,795207,308611,11960,2443,10213,1491551,102281,33826,23930,296,192677,55212,1739214,29734,11867,60141,304722,576280,10839420
Year 2014,123990,44162,53721,276459,56232,119484,278203,62510,505668,35094,300,216815,7935,182690,31312,280963,297,720924,42638,52394,61235,6468,38229,273649,800175,316372,12215,2510,10931,1499784,101641,34128,24765,298,196478,56367,1743206,30168,11964,61037,311172,585792,10673069
Year 2015,126449,44572,53777,278829,57204,73051,285429,63460,510216,35594,300,223512,8117,185572,31169,281351,300,732700,43642,53878,22149,2342,39135,276134,804066,320506,12357,2344,11059,592037,102603,34325,25340,300,199225,57155,1762342,30953,11987,61862,320274,595917,9718694
Year 2016,128673,45371,54239,280936,58008,73685,287201,64698,524010,34094,303,229641,7536,189032,31321,282875,303,396368,44491,55719,22966,2416,40102,280040,813076,323619,12558,2348,9680,604329,103854,34294,26147,302,200836,57947,1762175,31784,12016,62827,327798,606330,9146973
Year 2017,131711,45836,50290,286414,58458,74982,289955,65743,529307,33841,305,235951,7667,192508,31712,286146,304,400552,45446,56691,23674,2262,41057,283807,824687,327574,12506,2648,9684,613348,105650,34407,27219,305,203776,59949,924223,32286,12584,64288,339367,613937,8405938
Year 2018,135423,46507,51563,290222,58978,76130,290555,66673,532909,37135,306,242538,7733,195487,32552,262134,307,405704,46429,57287,24376,2313,41876,286373,840455,329002,12683,2786,9860,629096,108051,34967,27914,308,204553,61379,926547,32762,12839,65482,346450,623637,8497388
