LOCATION,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,239133,244100,248794,252333,122888,123990,126449,128673,131711,135423
Austria,88626,89114,88106,43886,44075,44162,44572,45371,45836,46507
Belgium,101844,53145,53389,57411,53563,53721,53777,54239,50290,51563
Canada,259035,262946,267169,270676,274658,276459,278829,280936,286414,290222
Switzerland,17263,52718,53950,54685,55240,56232,57204,58008,58458,58978
Chile,57812,77794,81651,83217,117809,119484,73051,73685,74982,76130
Colombia,237220,246388,256177,265673,271277,278203,285429,287201,289955,290555
Czech Republic,116658,61444,61239,61404,62074,62510,63460,64698,65743,66673
Germany,920274,481233,491169,495511,501084,505668,510216,524010,529307,532909
Denmark,41009,40087,29865,34767,34737,35094,35594,34094,33841,37135
Euro Area 19,319,313,309,305,300,300,300,303,305,306
Spain,239274,234572,230940,220570,214112,216815,223512,229641,235951,242538
Estonia,10807,10382,7660,7827,7900,7935,8117,7536,7667,7733
EU28,182591,179874,180475,180056,180035,182690,185572,189032,192508,195487
Finland,31489,31368,31702,31803,31478,31312,31169,31321,31712,32552
France,226693,226889,227150,250238,275043,280963,281351,282875,286146,262134
G7,298,296,295,295,293,297,300,303,304,307
Great Britain,978941,980114,987606,992726,1004405,720924,732700,396368,400552,405704
Greece,55006,52957,48837,44472,42256,42638,43642,44491,45446,46429
Hungary,47819,47654,48019,48932,49823,52394,53878,55719,56691,57287
Ireland,62979,60421,59530,58944,60102,61235,22149,22966,23674,24376
Iceland,6296,6272,6277,6331,6511,6468,2342,2416,2262,2313
Israel,28677,29637,30461,34290,37105,38229,39135,40102,41057,41876
Italy,730989,724880,277329,277021,272470,273649,276134,280040,283807,286373
Japan,1493392,788051,753649,790498,795207,800175,804066,813076,824687,840455
Korea,287145,292174,298570,303828,308611,316372,320506,323619,327574,329002
Lithuania,12187,11596,11651,11846,11960,12215,12357,12558,12506,12683
Luxemburg,4516,4578,3345,2435,2443,2510,2344,2348,2648,2786
Latvia,10391,9726,9879,10042,10213,10931,11059,9680,9684,9860
Mexico,1325411,1394720,1416829,1474953,1491551,1499784,592037,604329,613348,629096
Netherlands,103979,102409,102140,102904,102281,101641,102603,103854,105650,108051
Norway,32462,32506,32997,33630,33826,34128,34325,34294,34407,34967
New Zealand,33328,47581,23461,23393,23930,24765,25340,26147,27219,27914
OECD,292,293,294,296,296,298,300,302,305,308
Poland,344808,335851,337964,339321,192677,196478,199225,200836,203776,204553
Portugal,79319,60874,59137,56661,55212,56367,57155,57947,59949,61379
Russia,1690143,1706544,1727337,1745293,1739214,1743206,1762342,1762175,924223,926547
Slovakia,30200,29548,29522,29736,29734,30168,30953,31784,32286,32762
Slovenia,12858,12635,12258,12112,11867,11964,11987,12016,12584,12839
Sweden,57563,57840,59186,59570,60141,61037,61862,62827,64288,65482
Turkey,450389,267625,286059,295500,304722,311172,320274,327798,339367,346450
USA,560063,556813,560036,570436,576280,585792,595917,606330,613937,623637
Total,12501528,9923960,10829281,10996891,10839420,10673069,9718694,9146973,8405938,8497388
