LOCATION,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AUS,42428,43697,44317,45360,45459,45953,46270,46811,48267,48891,49208,50565,50973,50511,52253,53906,54226,53977,54392,53946,53972,53507,53349
AUT,43764,43389,44790,45781,45902,45787,46454,46590,47464,47716,48412,48645,49509,50312,50097,49579,49835,49896,50083,50374,50906,50851,50868
BEL,47011,47670,47588,50129,49796,50078,50941,51156,50932,50610,50816,50575,50725,51159,50872,51205,51551,52222,52514,52120,51952,51736,52080
CAN,35711,37064,37815,38299,39380,39218,38800,38802,39848,41566,42908,43969,44810,45309,45503,46203,47276,48192,48718,48979,47793,48247,48849
CHE,53881,54634,54687,55522,55854,57936,58838,58690,58182,59064,59431,60304,60630,61856,62003,62108,63207,64181,64285,64223,64064,63900,64109
CHL,17070,18268,19130,20348,20310,20952,21222,21972,22525,22352,21889,21967,22409,24038,24961,25106,25915,26584,26804,26759,27655,26767,27125
CZE,14909,15124,15070,15638,16157,16970,17996,19356,20310,20921,21756,22412,22423,22372,22944,23102,23090,22846,23324,23963,24778,25804,26962
DEU,42265,42033,42439,43109,43316,43748,43977,43920,43918,43841,43877,43802,44079,44254,44451,45209,45725,46277,47010,48035,48710,49161,49813
DNK,42207,42885,43646,44137,44111,44405,45427,46560,47604,48411,49235,49772,50446,51669,52264,51993,51923,52261,53261,54197,55032,54723,55253
ESP,37925,37950,38019,37883,37250,37242,37517,37416,37030,37245,37104,37590,39102,41751,41034,40453,39302,39391,39398,40088,39860,39073,38761
EST,9748,10664,11305,11737,12623,13118,13914,15170,16305,17285,18748,21772,22053,21305,21192,20321,21162,21460,22571,23436,24691,25368,26898
FIN,34792,34824,35725,36569,37200,37404,37616,38341,39623,40536,41479,42111,42519,42862,43535,43685,43715,43245,43229,43617,43969,43802,44111
FRA,35209,35605,36151,36949,37126,37361,38370,38681,39315,39792,40237,40387,40308,41590,42435,42370,42654,43013,43309,43732,44220,44469,44510
GBR,33294,34248,35857,37181,38908,40840,41517,42652,43663,43597,44590,45882,44679,45455,45527,44376,44007,44141,43782,44126,44466,44590,44770
GRC,23371,25671,26002,26796,27409,27963,30556,31886,32458,32359,32747,32740,32246,33762,31510,29445,28108,26290,26803,26585,26506,26486,26671
HUN,15025,15476,15639,15540,16094,17258,18115,19808,21014,21861,22284,21952,22199,21365,21618,21604,20852,20893,20707,20150,21078,22493,24455
IRL,31354,33291,35216,35988,36666,37897,38087,39057,40126,41794,42256,43479,44888,48160,48698,48765,48153,46725,46315,47245,47709,47303,47952
ISL,38924,40710,45013,47046,48487,48202,49586,48307,51578,55607,58095,59636,52851,44701,45952,48156,48050,48858,49472,53262,58131,64415,66504
ISR,33581,34546,35916,36501,37841,38460,36959,35677,35130,35202,36326,37025,36074,35294,34997,35275,33167,33428,33516,34482,35701,36679,37655
ITA,35809,36661,36832,37179,37145,37332,37078,37038,37796,38223,38485,38449,38489,38681,39051,38439,37279,37338,37482,37793,38060,37697,37752
JPN,40051,40407,40290,40241,40468,39961,39151,39187,39490,40173,39933,39873,39848,39470,40175,41082,40380,40353,39633,39592,40305,40510,40573
KOR,29538,28911,28536,28673,29082,29667,30700,31792,32707,33648,33988,34583,34272,34362,34956,35295,34864,35529,35321,35949,37165,37849,39472
LTU,8969,9926,10839,11311,11359,12012,12829,14208,15709,17354,19870,21166,21494,18768,18836,19367,19671,20472,21368,22742,23933,25207,26429
LUX,51406,52159,52463,53587,55449,56087,57256,56987,57768,57822,58621,60157,59919,61588,62132,61213,60707,61305,63607,64552,64453,65891,65449
LVA,9266,9696,10004,10426,10987,11359,11004,11819,12796,14893,16439,20280,20950,18917,18175,17541,18273,19152,20429,22295,23592,24634,25586
MEX,13120,13754,14514,15103,15905,16812,16748,17039,17139,17245,17218,17284,17150,17269,16183,16328,16050,16050,16029,16231,16136,16110,16298
NLD,48541,48703,47149,48028,49226,49956,50125,50481,51286,51287,51186,51917,52231,54464,54477,54140,54362,54555,54261,54893,55132,54634,54262
NOR,32396,33103,34313,35428,35744,36654,38107,38575,39824,40952,42610,44499,45529,46006,46594,48180,49465,50449,50749,50994,50207,50412,50956
NZL,31738,32600,32105,31655,31806,32391,33005,34211,35420,36022,36253,38388,37965,38433,38803,38804,39622,39111,39419,40256,41765,41954,42325
OECD,37886,38557,39485,40372,41215,41650,41798,42191,42775,43072,43452,44015,43934,44259,44419,44591,44582,44696,44997,45709,46017,46294,46686
POL,17169,18059,18603,20050,20131,21339,21282,21543,21120,21063,21203,21878,23045,22999,23652,23654,23446,23713,24196,24726,25956,27058,29109
PRT,24357,24993,25309,26169,26532,26649,26636,26566,26612,26459,25886,26069,25984,27184,27080,26437,25294,25814,25360,25307,25350,25289,25487
SVK,13402,15227,15845,15512,16080,16069,16913,17282,17566,18706,19326,20514,20718,21416,22360,22161,21917,22082,22511,23344,24053,24720,25357
SVN,24544,25880,26218,26697,27455,28566,28647,29247,30687,31855,32888,33607,34097,34436,35474,35341,34228,33749,34282,34934,36153,36883,37322
SWE,30117,31330,32319,32993,33964,34287,34808,35240,36311,37019,37913,39137,39679,39938,40175,40681,41581,42016,42444,43159,43736,43987,44196
USA,47615,48797,50805,52135,53904,54360,54788,55460,56490,56557,57454,58597,58401,58873,59477,59562,60047,59766,60618,62106,62153,62727,63093
